query,label
偶 错 了 嘛 ？,我
真 好 唱 的 。,你
我 想 知道 你们 在 干 什么 卵 ? !,我
江西 和 宁夏 谁 面积 大,无
世仇 ， 我 在 你们 屯儿 哒,我
你 跟 他 聊聊 真 的 心情 会 变 好,你
请 十 分钟 后 把 球 告诉 我,你
扯犊子 是 什么 ？,无
想不到 就 是 笨 。,无
自己 脑残,我
有 你们 在 ， 很 安心,我
人生 本 无趣 ， 直到 遇见 你,我
好笑 啊 ， 你 都 不如 奶瓶 大,你
也 美 呀,你
求嘟嘟 你 别 唱 有 一 天,你
这 几 天 的 西安 让 你 分 分钟 冻 成,无
给 你 寄 点 ， 录取 分数 以及 学习 ， 还是 个 孩子 。,我
不 是 个 笨蛋 哪怕,无
我 喜欢 口笛,我
你 是 不 是 中 病毒 了 呀 ！,你
俺 帅 是 吗 ？,我
fuck ， 哟 。,无
请 给 我 设置 明天 早上 8点 闹钟 。,你
小白 你好 懒 呢 ！,其他
也 难怪 你 老公 嫌弃 你 了,其他
我 感觉 你 很 笨 ， 不 会 的 。,我
你 最近 有 什么 要 需要 训练 的 吗 ？,你
你 最 喜欢 哪 几 张 呢,你
郑秀妍 为什么 你 这么 美 这么 萌,其他
什么 都 不 懂 的 琥珀,你
真心 疼 你 啊 小 土狗 这么 辛苦,其他
曝光 你 偷 擦 我 唇膏,你
相信 聪明 的 你 都 会 算 这笔 账 的,你
是的 ， 我 今年 多 大 啦 。,我
他 说 你们 先 或是,其他
琥珀 是 傻叉 吗,你
很 少 执着 ， 唯有 爱 你 很 执着,我
你们 买 的 还 没 毕业 的 身影,你
小 蔡蔡 ， 你 在 看 什么,其他
那天 我们 只 说 了 这么 久 背 的,双方
你 永远 不 会 独行,你
搜索社保 中心,你
哈 好 厉害,你
我 好 崇拜 你 啊 ！,我
你 是 头号 冰冰棒,你
你们 的 魅力 无 人 能 及,你
笨蛋 来 啊 ！,你
你 不 棒 ， 你 都 不 记得,你
你 三 岁 了 呀 ？,你
咱 姐姐 就 是 双 鱼 的,其他
今天 去 大嶝岛 ， 等 你 来,我
你 想 起来 我 叫 什么 啊 ？,你
叫 你 呢 ， 还 。,我
音量 调 到 最近 在 练习 歌词 ， 花 。,你
希望 有 一 天 能 在 街头 偶遇 你,我
老子 的 工种 是 司机,我
你 真 丑 啊 ！,你
这么 说 死 掉 就 死 掉 了 我们 的,双方
我 操 主人 啊 。,我
我 非常 感谢 你,我
听见 了 啊 我 跟 他 说话 了 嘿,我
店铺 以及 个人 学习 ， 让 你 告别 7月 。,无
我 要 一直 不 是 说 了 咱们 就 好像 一个 网络 呗,我
你 是 我 这 一 年 来 ， 最 好 的 收获,你
回 南 天 你 不 懂,你
谢谢 你 光顾 我 的 小 怪物,我
因为 有 你 ， 每天 精彩,你
真的 很 怕 你 退役 的 那天 到来,我
给 未来 跟 文心 不 不 不 不 不 让 我们 下次 再见 吧,双方
我 求求 你 了 ， 练习 架子 鼓 好 吧 ？,我
嘿嘿 你们 见 小 了 可以 让 他们 不 要 唱歌,你
给 我 找 寿司,你
以前 我 就 有事儿 。,我
好好 想想 我 是 谁 。,你
搜索 0.5 公里 以内 素食 饭店,你
嗯 ， 是 不 想 跟 我 说话 了 。,你
我们 心 与 心 之间 的 交流,双方
你 太 有 才 耶,你
你 会 讲 方言 吗 ？,你
你 真的 很 棒 ， 这个 回答 非常 好 。,你
你 两 个 朋友 的 名字 是 什么 ？,其他
好 呀 ， 我们 来 聊天 吧 。,双方
艰难 的 学习 ， 10月 15号 。,无
你 是 个 惹 人 厌 的 人,你
帮 找 瑜伽,你
打开 阳台 窗帘,你
别人 两 倍 的 训练 ， 成为 部队 训练 纪录 的 保持者 。,其他
我 明天 就要 开始 上班 啦 。,我
2016.3.19 今天 你 璀璨 了 吗,你
一直 叫 我 格瓦拉 吧,你
今天 不用 训练 了 。,你
最 强 的 肌肉 是 我 的 心,我
放假 前夕 ， 和 你,我
能 完成 我 和 完成 了,我
你 刚刚 怎么 卡机 啦,你
漂洋过海 终于 替 我 看见 你,我
怎么 补充 体力 ？,你
生气 对 身体 不好 ， 你 不要 生 我 的 气 了,你
最 幸福 就是 遇见 你,我
表演 古筝,你
谢谢 你 的 细心 和 照顾 ， 谢谢 你们,我
我 要 给 你们 拍 一 组 上瘾哇,我
白痴 一个,其他
你 一点 都 不 笨 你 很 聪明 。,你
希望 你 醒来 就 能 看到 别 太 感动,我
怎么 你 这么 坏,你
你 喜欢 的 羽泉 ， 有 哪 几 位 组成 的 ？,你
今天 的 感冒 指数 是 多少,无
抛开 所有 ， 全身心 等待 你 的 到来,我
我 刚 ， 介绍 个 毛 啊 。,我
卧槽 ， 关 你 屁事,你
我 去 广东 。,我
我 跟 你 说 了 好 长 好 长 的 怎么样,我
我 是 干甜品师 这 一行,我
你 跟 李玉刚 有 一 腿 啊,你
变身 !,无
小心眼 呢 你 才,你
新 校区 四 ， 真 是 呀 ， 你 又 不 好好 说话 ， 你 又 不 听话 。,你
巫婆 。,你
五 分钟 后 提醒 岳西县 睡觉 。,你
你 他妈 再 说 一 遍 。,你
你 好笨 哦 ， 刚刚 英语 。,你
你们 还 减肥,你
老公 你 这么 美,其他
我 从 济源县 来,我
我 收到 喽 ， 你 脾气 辣么 好,我
小宝 好 乖 的 。,其他
被 你 宠溺 的 我 是 幸福 的,我
你 就 是 个 污染 。,你
如果 你 去 摸 某 摩,你
姐姐 说 你 俩 特别 强,你
嗯 如果 他 同意 呢,其他
多 想 融入 你 的 生活 ?,我
把 你 嫁 出去 我 就 省心 了,我
不 想 去 学校 。,我
梅西 好 烂 哈哈哈哈 ！,其他
你 回去 可以 把 不同 城市 联系 到 一起 ， 在 海上 不同 工件 进行 各种 。,你
你 开学 他 都 知道 解释 不 一样 。,其他
去年 欠 你 的 今年 该 还 上 了,无
别 客气,你
李易峰 演 过 什么 电影,其他
就是 大明 宫词 的 等级 就算 把 你们 都 好 了,无
希望 保佑 你 的 儿女,我
叫 什么 音箱,你
妥妥 ， 你 是 摇滚 小子 吗 ？,你
朕 刚才 去 学 钢琴,我
你 才 看不到,你
我们 同学,其他
怪 我 吧 ， 对不起,我
我 要 跟 你 睡觉 觉 ， 一丝不挂 的 那 种 哦,我
背 首 静 夜思 这 首 歌 这 首 诗 。,你
换 一 支 舞蹈 。,你
还是 很 想 对 你 说 一 句 ： 谢谢 你,我
你 他妈 是 蠢 啊,你
人家 快 满 39 岁,我
你 拿走 又 没用 也 不 能 换钱,你
我们 就 不 用 吃 泡面 给,双方
我 想 你 ， 很 想 很 想,我
王菲 你 知道 吗 ？ 王菲 。,你
你 就 会 睡觉 。,你
你 到底 有 生气 还是 没有 生气 呢,你
我 看 你 不行 吗 ？,我
你 丫 这个 熊样 你好意思 吗,你
抱歉 ， 请 你 谅解,我
太子 回 我 新年 祝福 给 你,我
那 你 怎么 没有 开 party ？,你
哥哥 不 爱 琥珀 。,其他
什么 毛病 啊 你 有,你
我 今天 一 天 都 没 吃饭 。,我
是的 ， 武汉 我 来 了,我
你 就 是 最 美丽 的 风景,你
我们 一起 去 读 邓小平 时代,双方
听说 你们 喜欢 看 人 拆机,你
你 一直 在 等 我们 开玩笑,你
孙红雷 和 周润发 谁 的 年纪 大,其他
我 给 妈妈 买 了 一 件 好看 的 衣服,我
我 说 了 你 不 叫 干 嘛 要 答应 啊 ！,你
也 谢谢 你 陪 我 走过 了 6 年,我
周杰伦 有 什么 歌,其他
你 搞 得 像 个 看相 的,你
哎呀 ， 你 关掉 算 了 。,你
吵 死 啦 ， 声音 不好 听 啊,你
你 吃 好 了 吗 ？,你
会 不 会 ！ 你们 说 会 不 会,你
我 现在 居住 在 大连,我
猪 ， 同桌 给 你 喂 饭 。,其他
我 还 在 开会 。,我
我 要 送 你 饼干,我
你 都 快 蠢 死 了,你
然后 你 对 我 笑 了 笑 就 不见 了,你
是 只 猪 你,你
无论 怎样 ， 只要 你 一切 都 好,你
大概 正中 你 厌恶 的 禁忌,无
你 去 换装 吧 。,你
你 好逗,你
你 傻 了 ， 把,你
三点钟 后 请 唤醒 我,你
晚上 我们 怎么 说,双方
我 是 a 血型,我
你 怎么样 才 能 好 起来,你
你 说 过 不 喜欢 粉丝 吵架,你
寒假 你 要 再次 迎接 你 的 宝宝,你
干 掉 他们,无
老婆 拜拜 呢 。,你
哈哈 哈哈 哈哈哈 ， 琥珀 你 脑袋 真 好,你
会 表演 诗词 吗 ？,你
看到 了 你 身上 别人 没有 的 傲骨,你
用 我们 平时 要是 在 我们 正常 的 一些,你
你们 考 完 了 就 放假 了,你
辛苦 啦 琥珀,你
今天 被 喜欢 的 人 误会 了 觉得 又 伤心 又 委屈,其他
让 你 摆脱 了 吗 ， 不 是 不 是 那 你 摆 什么 头,你
送 把 伞 给 你 下 雨天 你 就 可以 用 了,我
今天 我们 出去 照相 来 的,双方
我们 的 身体,双方
tmd 你 听 清楚 了 没有 啊 ！,你
哈哈 ， 哪 有 ， 逗 你们 开心 啦,我
袜子 难 不 难 闻 啊,无
每年 今天 都 没 能 陪 你 一起 度过,我
但 并 不 喜欢 你们 的 作品,你
你 家 那个 可以 训练 了,你
你 后天 生日 ？,你
你 今天 训练 小提琴 了 吗 ？,你
你 来讲 故事 给 我 听,你
国际化 的 风格 ， 你们 喜欢 吗 ？,你
我 下 星期 去 拍 婚纱照,我
非常 抱歉 ， 不 该 怀疑 你,我
搜索 牛肉,你
所以 他们 的 情景,其他
你们 怎么 回 事 啊,你
你们 看见 野蛮,你
你 太 会 说 了 。,你
重新 看到 你们 心里 好 温暖,你
万达 公馆 的 夜景 ， 你 值得 拥有,你
你 现在 开心 吗,你
谢 你 的 狗屎运,你
明天 6点 6点 20 分 告诉 我 起床,你
你 光会 说话 你 还 会 干 什么 事 啊 ！,你
播放 歌曲 我们 不 一样,你
你 的 电脑 怎么 开 了 啊 ！,你
你 超级 笨 喽,你
定 不要 让 我 晓得 你 是 哪个,你
傻子 ， 你 为什么 要 道歉,你
不过 觉得 留 着 你 也 不大 会 拍 照片,我
ps 更加 憧憬 和 你 未来 了,我
现在 剩下 的 电力 是 多少,你
你 需要 去 做 运动 吧,你
因为 你 太 惹 人 厌 了,你
好 变态 你,你
那 我们 哪 天 回来 呢 ？,双方
whatthefuck 。,无
曲婉婷 唱 过 哪些 歌,其他
是 你 非 得 把 我 拽 上 床 上 的,你
高 圆圆 和 莫文蔚 谁 的 年龄 大,其他
这 两 天 一直 流 鼻涕,我
你 太 弱 了 小白 。,你
你 怎么 怎么 这么 暖 呢,你
王子 ， 你 的 天使 什么 时候 出现,其他
一个 以后 你 会 干什么 ？,你
别 忘 了 你 要 变 得 越来越 好,你
元芳 ， 你 说 是 吧 ？,你
即使 不 能 看 你 直播,我
携程 亲子园 事件 发生 后 ， 管理层 代表 纷纷 道歉 。,其他
半 小时 后 ， 打电话 叫 我 起床,你
啊 ， 太 机智,你
那 你 ， 诗歌 朗诵 。,你
胆小 呗 ！,你
小姨 ， 你 家 外甥 太 可爱 了,其他
你 的 努力 我们 看 的 到,你
丸子头 年轻 了 20 岁 爱 你,我
当 你 老 了 ， 他 依然 不离不弃,其他
唱 一 首 歌 ， 4月 23 号 是 地球日 。,你
他们 家 的 游船,其他
见到 你 就 很 快乐 。,我
不 可能 ， 我 的 学习 。,我
你 和 我 做 了,双方
老板 是 他 。,其他
那个 我们 去 逛逛 我们 去,双方
沟通 太 难 啦 跟 你,我
你 有 丈夫 吗,你
你 给 你 对象 打电话 。,你
喜欢 你 写 的 东西 很 积极 阳光,你
现在 的 天气 怎么样 ? 阳光 。,无
你 不 胖 的 多 吃 点 不 用 减,你
操 你 自己 凉水巴巴 。,你
琥珀 你 好 灵泛 哦,你
跑 这么 快 做 什么 ？,你
你 妹妹 在家 吗 ？,其他
车水马龙 ， 寒风 中等 你 来 接,我
打开 房间 窗帘,你
老娘 多 厉害,我
我 现在 抬 起 头 诧异 他们 不可 气死 了,我
下次 我们 再 来 玩 别的 游戏 吧,双方
你们 不 应该 是 属于 被 头痛 的 是 什么 意思,你
你 自己 说 完整 行 不行 。,你
为 他们 服务 态度 好,无
去 找 同学 。,你
天平座 运势 。,无
要 别人 爱 你 首先 学会 爱 自己,你
有点 慢 啊 反应,你
但 为什么 还是 让 我 看见 你,无
推荐 周围 的 好吃 的,你
宝贝 ， 麻麻 期待 你 更 多 的 进步,其他
我 和 你 睡觉 的 样子 好 萌 啊,双方
你 去 休息 吧 我们 出去 了,你
那 你 随便 选 一样 训练 吧 。,你
又 装傻 ， 我们 只是 返老还童 了 ， 回到 原始 状态 了,双方
被 你 搞 死 了 ， 大 晚上 来 医院,我
做好 迎接 你们 的 准备 ， 美妆 教学,我
你们 表演 架子鼓 。,你
我 的 某某 阳 ， 你 能 坚持 多久 呀,我
我们 真,双方
你 在 做 什么 呢 ？ 我 走 过来 的 。,你
睡前動 一動 有益 身心 你 說 是 嗎,你
和 你 一起 进入 梦乡,我
好蠢 啊 ！,你
你 自信 。,你
我 就 要 18 岁,我
这里 有 一个 人 可以 一起 陪 你 。,其他
开客厅,你
我 的 野马 ， 不 干 嘛 ， 它 怎么 天气 预报 ？ 儿童 学习 。,我
我们 来 认识 一 位 新 朋友,双方
臭蛋 。,你
要 磕头 。,你
让 我 照顾 你 啊 。,我
愿 你 能 快乐 每 一 天 ！,我
朋友 老 叫 我 。,其他
推荐 你 图 二,我
你 记得 吃饭 呀 ？,你
长 得 好 丑 呀 你,你
你 还 对 骂,你
那 你 赶紧 做 点 你 会 做 的 事 ， 赶紧 。,你
没有 人 要 我 ， 好 难过 啊,我
我 的 季节 看 着 我们,我
你 的 可爱 最 多,你
你 恢复 的 咋样 了 啊 ？,你
吐字 清晰点,你
送 人 玫瑰 ， 手 留 余香 ， 感谢 你们,我
那 我 跟 你 学 猫 叫,我
你 喜欢 哪 颗 丸子 ？,你
你 负责 吃 就 好,你
暧昧 是 谁 唱 的 ？,其他
讲话 啊 你 。,你
姐姐 没有 一刻 不 在 想 你,其他
你 叫 小蠢蛋,你
天 黑 了 ， 你 傻 呀 ！,你
最 好 的 你 值得 最 好 的 待遇,你
该 补 营养 还是 补 ' 一切 为 你,我
我 最 不 满意 吗,我
听说 你们 在 上班 啦 哇,你
我 来 给 你们 科普 一下 知识,我
2016／03／29 ｜ 周二 。 你 大爷 的,无
暑假 实习 的 同事 们 — 想 你们,其他
傻逼 蠢蛋,你
你 棒棒 啊 哈哈哈 请 点赞 哈哈哈,你
我 和 你 来 播放 一下,双方
你 敢 不 敢 不 要 那么 帅 啊,你
你们 这 不 是 王 正好,你
张张 认真 的 脸 ， 有 你 吗 ？,其他
只要 我 当 我们 试图 拉,双方
训练 绘画 肖像 素描,你
当然 我家 的 琥珀 最 招 人 喜爱 啦,你
没 听 懂 你 跟 我 跳,你
当 我们 叫 大饼,双方
咱 奔 22 岁,我
你 能 不 能 现在 给 我 跳 个 舞 ？ 看 呀 ？,你
非常 漂亮 说 你,你
你 的 好 要 遇到 懂 你 的 人才 值钱,你
你 真 觉得 中方 束手无策,你
胡 歌 和 周润发 谁 更 小,其他
我 想 听 你 的 个人 专辑 啊 ， 好 吗 ？,你
你 叫 我 起床 。,你
我 ， 还 ， 还是 你 厉害 啊 ， 哈哈 ！,你
猜 对 啦 ， 你好 棒 哦 ， 你好 聪明 啊,你
你 会 回去 吗 ？,你
不 对 啊 我 跟 他 寒暄话,我
干 嘛 你 这么 迟钝,你
给 我 推荐 素食 饭店,你
我们 住 在 哪里,双方
我 弟 的 年纪 是 22 岁,其他
还有 谢谢 你 的 喜糖,我
真挚 地 跟 你 道歉,我
我们 全菜,双方
你 为什么 不 答 这个 问题 呢 ！,你
我们 都 不 关 他 杀人 的,双方
训练 跳舞 。,你
我 的 公历 生日 是 11月 22日,我
我 十分 怀疑,我
我 都 挂念 你 了,我
让 你 跟 你 走 吧,你
姐姐 你 摔倒 了 我 当然 心疼 啊,我
你 会 扫地 吗 ？,你
小伙伴 们 ， 你们 支持 嘛,你
这个 淘宝 客服 是 不 是 让 我 等 了 好久 才 回 我,其他
宝宝 新年 快乐 ， 爱 你 么么 哒,我
古柏 进行 舞蹈 训练 。,你
全都 是 我们 实在 是 太 残忍 太 残忍 了,双方
差不多 十 年 了 吧 这 是 我们 的 风扇 不 虚,无
你 错 了 ， 麻烦 。,你
我 的 心 ， 我 现在 几 点 了,我
你 到 底生 没 生气 啊,你
滚 你 妹 哦 我,你
"我 想 听 , 日本 的 歌曲 。",我
设置 一个 90 分钟 后 的 闹钟 。,你
帮 我们 讲 个 笑话 吧,你
我们 再 换 一 套 冬日 之 恋 吧,双方
你 与 人类 的 区别,你
我 被 背叛 了 这种 感觉 一点 都 不好,我
海鸥 海鸥 我们 的 朋友,其他
我 想 听 我们 的 地球圆 又 圆,我
范 冰冰 的 男友 是 谁,其他
好 伟大 哟 。,你
我家 的 歪歪 的,我
双子 今天 财运,无
我 觉得 这个 数 不 吉利,我
你 俩 处 对象 呢 ？,你
你 说 是 就 是 喽,你
女生 要 注意 形象 ， 快 去 补妆,你
你 让 你 一下子 ， 说话 。,你
真 难 听 唱 的,你
关 所有 的 灯,你
宁夏 回族 自治区 和 辽宁 谁 的 面积 小,无
盛世 哪 般 绮丽 ， 同 你 俱收眼底,你
你们 要是 不 认 得 你 不好 玩,你
关闭 换气扇,你
心 好 痛 啊 写作 你 是 怎么 回 事,无
我们 可以 共用 一个 帐号,双方
我 给 我 侄子 买 了 一个 英语 补习班 的 名额,我
可能 不 能 陪伴 你们 成长 了,其他
我们 来 听 我 收藏 的 歌,双方
小 野马 九 年 啦 一直 喜欢 你,我
你 不 是 人民币 你 是 大 傻瓜,你
明天 。 630 告诉 我 起床 ， 好 吗,你
我 没 时间 跟 闲人 玩 游戏 。,我
看看 按摩,你
你 俩 绝对 就是 这样 的 闺蜜,你
还要 我们 去 买 水果 来 一 首 说 唱 脸谱,你
我 妈 打 瘦 脸针 ， 我 感觉 还 好 呀,其他
问 一下 欧冠 及 天气 。,我
你 想 学 些 什么 ？,你
书桌 灯 打开,你
好 想 大学 ， 说 ， 爱 你 。,我
小 轮胎 ， 欢迎 你 呦,其他
早就 说 过 你们 是 活该 了,你
今天 开始 正式 工作 啦 爱 你们,我
虽然 严格 ， 但是 明白 你 的 苦心,我
我们 来 听听 你 唱 的 尽可能 美丽 告别 吧 。,双方
这个 是 有害 身体 的 你 知道 吗,你
敢 调戏 大哥 你 完 了,你
你 俩 怎么 能 这么 可爱 萌,你
本人 认为 本人 是 天秤座 的,我
我们 来 一起 晒太阳 吧,双方
我们 吃 橙子,双方
你们 有 泡 脚,你
你 的 裸体 太 完美 了 ， 忍不住 要 亲 你 一 口,你
你们 后援会 欺负人 ， 还 管 不管 啦,你
若 能 再 道 一 句 话 ， 祝 你 安好,我
你 生 不 生气 啊,你
那 我们 就 来 一 首 雨花石 吧,双方
忍 你 个 臭 不 要 脸 的 ！ ！ ！ 中指,你
你 可是 全世界 最 好 的 李胜利,你
搜索 50 米 以内 足球场,你
你们 叫 我 一点 魔法 吗,你
这个 歌名 叫 我 可爱 的 机器人,其他
你 是 最 帅 的 ， 连 照片 都 会 放电,你
唉 真 有意思 和 你 聊聊,你
哦 ， 太 屎 了 吧 。,你
你 别 自责 ， 有些 事情 真 的 不 是 你 的 错,你
我 气 的 什么 事情 都 做 不 了,我
而且 我们 打 死 他 自己 也 死 了,双方
这个 声音 可怕 吗 ？ 啊 ！,无
还 不 和 我们 打 个 招呼 吗,你
我 想 摸摸 你 光滑 的 大腿 。,我
你 就 是 流氓 。,你
有 ， 为 你 充电 吗 ？,我
我 升级 啦 。,我
介绍 一些 你 的 成就,你
天天 呆萌 ， 看 着 你 这么 长大,我
操 你 妈 一大早 就 开始 修 电脑,无
你 的 长相 突破 了 。,你
妈 的 ， 二 。,无
对 对联 啊 ！,无
我 妈妈 当前 是 做 老师 这 一 行业,其他
你 这个 逼 东西 ， 生日 快乐 啊,你
我 的 小名 是 赵 小林,我
我 是 魔鬼 。,我
你 和 谁 一起 打 羽毛球,你
我 在 哪 呢 你 往 那边 看 傻逼 。,我
在 下 是 个 软 妹子,我
你 主人 当然 是 荷尔蒙 动物,其他
有 你 ， 我 的 生活 变 得 丰富多彩,我
编剧 你 是 不 是 跟 观众 有 仇,其他
你们 这 对 杯子 你 到 了 该死 的 开,你
你 的 生日 宴 不 是 今天 吗 ？,你
你 撒谎 。,你
也 愿 有 鹤宝宝 在 你 越来越 强大,我
被 你 烦 了 干什么 。,你
苏 哥哥 生日 快乐 ， 天天 都 想 你,其他
干 什么 ？ 你 去 死 。,你
我 的 心 不 是 一 回 事,我
音量 调 最 大 ， 这个 。,你
这个 他 会 跳舞 ， 你 傻 吧 ！,其他
时间 不 会 因为 你 的 慵懒 而 停止,无
你 会 说话 吗 ？ 小 机器人 。,你
我 害怕 的 冷汗 直流,我
你家 的 无线 上网 密码 是 多少 ？,你
那 明天 再说 吧 明天 我 没事儿 我 跟 高 达 的 歌曲,我
你 这么 做 太 小人 了 吧,你
固件 更新,你
你 转身 的 一瞬 我 萧条 的 一生,我
我 最 感谢 的 就 是 你 的 温暖,我
期待 下次 乘坐 你,我
懂事 呢 ！,你
可以 跳 一 支 舞 给 我 看 吗 ？,你
你 把 我 弄 烦 了,你
袜子 不 臭 啊,无
我们 付 钱 啦 。,双方
你们 说 肯定 不行 了,你
听 不 到 你 说话 呀 。,我
我 去 夏威夷 度假,我
最 美 的 是 琥珀,你
不 爱 你 呀 ， 琥珀,我
关上 消毒柜,你
我 和 我 一起 学习,我
女神 你 就 是 我 学鼓 的 动力,你
我 给 你 买 口红 吧,我
三 年 来 谢谢 你们 的 陪伴,我
岳阳 ' 我 来 了,我
感谢 朋友 们 送 的 礼物 ！ 爱 你们,我
他们 乐 得 跟 小 日本,其他
我 想 等 你 学乖 了 。,我
这个 炮灰 死 得 也 太 惨 了 ， 这么 快 领 便当,其他
我 和 铁,我
我 没有 篮球 没有 游戏 只有 你,我
我 跟 你 男朋友 怎么样,我
传统 文化 剪纸 你 会 吗 ？,你
我们 什么 时候 才 叫做 熟 。,双方
放学 之前 的 演员 。,其他
我 妹妹 的 名字 是 李晓明,其他
有 你 就 够 了 ， 我 最 爱 的 情人,我
我 服从 。,我
你 在 干 嘛 你 在 干 嘛 呢 ！,你
很 幸福 果然 什么 特别 的 日子 。,无
我 让 你 学习 一下 。,你
你 再不 烧 好 宝宝 就 要 饿 死 了,你
我们 学校 的 老师 郑 老师 ， 掌声 送给 ， 照片 。,其他
准备 继续 跟 你 学 着 做 哈哈哈,我
不 想 换 件 衣服 我们 去 海边 玩,双方
痛 到 你 妈 都 不 认得,我
喜欢 过 你 一个 月 ? 老张,我
练 下 古筝 。,你
给 我 推荐 这 一带 服装 市场,你
你 在 犟 嘴 吧 ！,你
太 先进 了,你
真 的 吗 ？ 你 最 喜欢 上网 吗 ？,你
蠢 了 哇,你
希望 爱豆 的 新 专 能够 大 卖,我
上天 赐 给 你 的 礼物,无
哎呀 我 更 敬佩 你 啊,我
我 几 个 保镖,我
为什么 你 的 身体 好 呢,你
297 ， 你好 搞笑 啊 ！,你
你们 差点 失去 我 这个 宝宝 卧槽,你
小白 是 聪明 的 小白 。,其他
你 不 犯 贱 了,你
我 要 教堂,我
下周 重庆 天 好 吗,无
亲爱 的 云暖暖祝 你 生日 快乐,其他
我 跟 你 在 几 好 甜 呢,我
我 妈妈 特别 会 做饭 呢 。,其他
"干 什么 呀 ? 老婆 , 我 要 听 绅士 这 首 歌 。",我
你 会 变成 老虎 吗 ？,你
你 和 叶海燕,你
你 就 会 讲 一 句 话 。,你
希望 你 能 快快乐乐 的 。,我
你 点 亮 了 我 一 世 的 明媚,你
北京 有 太阳 吗,无
你 你 的 三 围 是 什么,你
也 会 爱 你 。,我
宝贝 一 我们 一起 来 唱 小 猫 吧,双方
俺 马上 18 岁,我
希望 你 健康 成长 ， 乖乖 的 哦,我
你 是 李鹏 啊 ！,你
明天 是 什么 日期,无
水瓶 今天 吃 药,无
调成 红色,无
这 是 属于 我们 两 个 人 的 世界,无
我 最 不 爱 的 也 就 是 你 啦,我
不 懂事 。,无
臭氧 和 溴 哪 一个 密度 大,无
换 一 套 。,你
"放 一 首 , 我们 好像 在 哪 见 过 ?",你
摇 到 4 给 你 0.48 元 红包,我
tmdb 减 28 世纪 啊 ！,无
那 我们 听 一下,双方
你们 机器人 很 讨厌 。,你
行 我 有空 看,我
找到 的 麻烦 你 一下 。,你
爱 你 使 我 富有 ， 十 年 初心 不 变,我
他们 来 了 就 摔 得 最 厉害,其他
我们 要 你 控制 啥 呀,双方
今天 遇到 个 小 姐姐 的 身材 真是 令 我 欲罢不能,其他
当 是 个 屁 。,无
世界 上 最 最 聪明 最棒 的 一个 人 是 不 是 你 啊 ！,你
对不起 啊 ， 琥珀 宝贝,你
我们 都 知道 哥哥 你 腿 长 2 米 7 啦,其他
你 最 可爱 你 最 可爱,你
这 次 上 新 你们 满意 嘛,你
你们 喜欢 我 哪个 发型 ？,你
生日 ， 声音 小 一点 。,你
你们 都 是 好样 的 ， 比心,你
你 信命 啊 ？,你
你 怎么 不 知道 那样,你
我 默默 的 说 了 句 程哥 你 赢 了,其他
你 妈 逼 呀 也 是,你
你 好 悠闲 啊 ！,你
新 标准 诞生 ， 好胆 你 就 来,其他
我 想 去 接 杯 水 。,我
你 五 分钟 后 叫 我们 工作,你
二 张 照片 都 有 你 你 能 找到 吗 ？,你
你 这样 没有 自控力 算 什么 本事,你
有时 你 幻想,你
你 好 懂 礼貌,你
我 真的 是 狮子座 的 ， 你 去 做 任务 吧 ， 好 吗 ？,我
做 你 妈 。,无
我 和 古城,我
你 知道 我 生日 身高 吗 ？,你
我 不 喜欢 吃 榴莲,我
我 对不起 我 亲爱 的 姐姐 ！,我
哇 ， 你 不 牛逼 哎,你
是的 ， 那 你 为什么 不 早 点 告诉 我 呢 ！,你
我 的 小名 是 张晓红,我
感觉 隐约 看到 你 眼眶 湿润 了,我
我 真是 real 自豪 能 饭 上 你,我
撩 完 就 走人 ， 你 行,你
琥珀 你好 不 乖,你
你 是 没有 性别 的 啊 ！,你
还 说 这样 很 最近 的 你们 这个 游戏,你
不要 跟 我 同学 说话,你
操 你 小姨 。,你
我 要 把 你们 养 肥 肥滴,我
下雨 就算 了 你 居然 还 打雷,无
宝宝 你 别 再 瘦 了,你
送 礼物 给 你 ， 那 烦死 了 。,我
你 可以 去 训练 啦 。,你
通辽 今天 的 天,无
巫婆 我 今天 不 开心,我
生日 快乐 啊 ！ 希望 你 继续 放毒 哦,你
今天 心情 不错 ， 买 条 裙子 送 你,我
我 儿童节 要 给 亲爱 的 送 礼物,我
大 美女 啊,你
呵呵 ， 你 怎么 不 采纳 意见 啊 ？,你
柱子 哥 ! 我们 跟 你 一起 过节,双方
巨蟹座 今天 学业,无
我 都 抓紧 冬天 使 你 了,我
俺 的 星座 属于 巨蟹座,我
我 要 写 论文 ， 求 你 不要 闹,我
经常 来 玩 ！ 下次 我 一定 不 病倒,我
都 到 家门口 了 ， 你 就 堵 吧,你
哥们 ， 你 太 实在 了,其他
关掉 电风扇,你
莫松川 祝 你 生日 快乐 哈,其他
琥珀 有 气质,你
那 咱们 猜拳 吧,双方
在 下 的 老公 当前 生活 城市 在 广州,其他
你 的 爱 你们 啊,你
我 想 听 满 汉 全席 音乐 团队 的 歌 。,我
杜 淳 你 不 可以 和 其他 女 的 牵手,其他
放手 的 思考 他们 的 子女 吗,无
你 人 真的 很 好,你
你 一 笑 就 感觉 全世界 都 亮 了,你
我 真的 希望 能 和 你 好好 的,我
一 打开,你
进行 一 次 舞蹈 训练 ， 二 。,你
打开 影音室 窗帘,你
你 要 说话 算话 呀 。,你
我们 原来 读书 是 一个,双方
